"id","waterpurifier_name","price","original_price","rating","filtration_capacity"
867,"Aquagrand Audi 12 ltr drink pure water 12 L RO + UV + UF + Copper + TDS Control Water Purifier","3,989","17,500","4.1","Filtration Capacity: 12 L/hr"
868,"AQUA Storm Model With Copper Filter 12 L RO + UV + UF + TDS Water Purifier","3,720","14,500","4","Filtration Capacity: 12 L/hr"
869,"AQUA Fresh SKYLAND Model 18 L ALKALINE VITAMIN B12 + COPPER FILTER 18 L RO + UV + UF + TDS + Copper Wa...","3,968","17,500","3.8","Filtration Capacity: 18 L/hr"
870,"Peore Pro Plus - 40  Water Purifier | Self Service Mode 7.5 L NF + UV Water Purifier","14,499","22,999","4.4","Filtration Capacity: 25 L/hr"
871,"AquaDpure Copper ro water purifier 12 L RO + UV + UF + Copper Water Purifier","4,844","24,999","4.4","Filtration Capacity: 12 L/hr"
872,"nexus pure JAZZ WHITE COPPER +ALKALINE 10 L RO + UV + UF + TDS Water Purifier","3,999","17,421","4.1","Filtration Capacity: 15 L/hr"
873,"Aquagrand Epic Model 12 Ltr 12 L RO + UV + UF + TDS Water Purifier","3,941","14,000","4.1","1 Year offsite warranty on all electronic parts"
874,"AQUA SKYLND Model RO_UV_UF_TDS_With Copper Filter 18 L RO + UV + UF + TDS Water Purifier","3,855","15,500","3.8","Filtration Capacity: 12 L/hr"
875,"Aqua Fresh NEW EPIC 12 L RO + UV + UF + TDS Water Purifier","4,299","16,500","3.9","Filtration Capacity: 17 L/hr"
876,"Grand plus EPIC 12 L RO + UV + UF + TDS Water Purifier","3,799","16,500","3.7",NULL
877,"trypkon DRIFT 2 COPPER 14 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier","3,499","17,499","5","Filtration Capacity: 20 L/hr"
878,"KENT WONDER (11033) 7 L RO + UF Water Purifier","18,000",NULL,"4.3","1 Year Warranty + 3 Years free service"
879,"Blair ALFA COPPER BLACK 12 L RO + UV + UF + TDS Water Purifier","4,456","19,990","3.9","Filtration Capacity: 15 L/hr"
880,"Always Aqua Candy 18 L RO + UV + UF + Minerals + Copper Water Purifier","12,000","15,500","4.4","Filtration Capacity: 15 L/hr"
881,"SAMTA Ro+Uv+Uf+Tds Adjuster Mineral 18 L RO + UV + UF + MTDS Water Purifier","5,989","19,990","4.5","Filtration Capacity: 15 L/hr"
882,"Noir Aqua Floxy 8 Stage RO Water Purifier with B12 Alkaline Filter for Home & Office 10 L RO + UV + UF...","5,999","12,999","4.5","Filtration Capacity: 15 L/hr"
883,"AQUA Copper + Alkaline Vitamin B12 Epic Model 12 L RO + UF + TDS + ALK Water Purifier","4,098","17,500","4","Filtration Capacity: 12 L/hr"
884,"Grand plus ro uv uf tds+copper 18 ltr water filter 18 L RO + UV + UF + Copper + TDS Control Water Puri...","3,799","16,500","4.1","Filtration Capacity: 14 L/hr"
885,"Aquafresh PURIX COPPER ro+uv+tds+mineral Borwell electrical water purifier 15L 15 L RO + UV + UF + TDS...","4,999","13,999","3.8","one year"
886,"KENT PEARL(11002) 8 L RO + UV + UF Water Purifier","17,400","20,000","4.4","1 Year Warranty + 3 Years free service"
887,"AquaDpure Copper + Mineral ,Best For Home and Office 12 L RO + UV + UF + TDS Water Purifier","4,992","12,999","4","Filtration Capacity: 12 L/hr"
888,"Keel BLACK DIAMOND 10 L RO + UV + UF + TDS Water Purifier","3,999","16,500",NULL,"Filtration Capacity: 10 L/hr"
889,"KONVIO Neer Jeeone Purple Premium Water Purifier 13 L RO + UV + UF + TDS Water Purifier","6,999","14,999","4.1","Filtration Capacity: 13 L/hr"
890,"AquaDpure AquaX Bio Alkaline with Active Copper RO Water Purifier with Fully Automatic 12 L RO + UV + ...","4,843","15,999","4.2","Filtration Capacity: 12 L/hr"
891,"Aquagrand NYC Model 12 L ALKALINE VITAMIN B12 + +ALKALINE B12 12 L RO + UV + UF + TDS Water Purifier","3,871","15,500","4","Filtration Capacity: 12 L/hr"
892,"HAVELLS Max 8 L RO + UV Water Purifier","14,990","18,918","4.3","1 year"
893,"Peore Pro Plus - 60  Water Purifier | Self Service Mode 7.5 L NF + UV Water Purifier","14,499","22,999","4.4","Filtration Capacity: 22 L/hr"
894,"AQUA NYC Model RO_UV_UF_TDS_Mineral Cartage Filter 15 L RO + UV + UF + TDS Water Purifier","4,558","14,500","3.8","Filtration Capacity: 12 L/hr"
895,"R.K. AQUA FRESH INDIA Turbo Plus Copper+Alkaline Booster Technology Ro With Minerals 12 L RO + UV + UF...","4,079","15,999","4","Filtration Capacity: 10 L/hr"
896,"Royal Aquafresh NEW EPIC 15 L RO + UV + UF + TDS Water Purifier","3,799","16,500","4.4","Filtration Capacity: 15 L/hr"
897,"AQUA Kris Model With Alkaline Vitamin B12 Advanced Technology 12 L RO + UV + UF + TDS + Alkaline Water...","3,704","16,500","4.1","Filtration Capacity: 12 L/hr"
898,"Keel AUDI EXTREM RO+UV+UF+TDS 10 L WATER FILTER 10 L RO + UV + UF + TDS Water Purifier","3,999","16,500",NULL,"Filtration Capacity: 14 L/hr"
899,"Aqua Fresh CrystalIi black LED COPPER+RO+UV+TDS 12 L electric borewell water purifier 12 L RO + UV + C...","4,099","15,999","3.8","Filtration Capacity: 12 L/hr"
900,"Aqua Ace Copper + Mineral Water Purifier with Copper Charge Technology & copper Best 12 L RO + UV + UF...","4,749","14,499","3.5","Filtration Capacity: 12 L/hr"
901,"E.F.M Alpha Black Transparent Water Purifier Luxury Domestic RO System 12 L RO + UV + UF + TDS + Alkal...","4,785","13,999","4","Filtration Capacity: 15 L/hr"
902,"Aquafresh SUPREME AUDY 12 L RO + UV + UF + TDS Water Purifier with Prefilter","4,199","16,500","4","Filtration Capacity: 12 L/hr"
903,"Aqua Fresh Glam Series 1 Years Warranty India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV + UF...","5,499","16,500","4.5","Filtration Capacity: 8 L/hr"
904,"Aqua Fresh Opel 18 L RO + UV + UF + TDS Water Purifier","3,798","15,500","4","Repair:Parts will be sent through courier. Customer courier the parts on seller address has customer cost.Technician visit will be chargeable if applicable"
905,"Aquafresh NYC WH COPPER+ALKALINE+RO+UV+TDS 15 L WHITE AUTOMATIC ELECTRICAL BOREWELL 1500 TDS BEST HOME...","5,299","13,999","3.8","Filtration Capacity: 12 L/hr"
906,"Aqua Fresh swift red MINERA+ro+uv+uf+tds 15 L 15 L RO + UV + UF + TDS Water Purifier","4,549","12,999","4.2","Filtration Capacity: 12 L/hr"
907,"Prisaa PUROSIS 9 L RO + UF + TDS + ALK Water Purifier","7,999","22,499","5","Filtration Capacity: 9 L/hr"
908,"Aqua Ultra C11D 9 L RO Water Purifier","3,935","13,500","3.9","Filtration Capacity: 15 L/hr"
909,"pure master QUBE GRAY T 11 L RO + UV + UF + TDS Water Purifier","5,199","14,999","5","Filtration Capacity: 15 L/hr"
910,"KENT PRIDE(11004) 8 L RO + UF Water Purifier","16,500",NULL,"4.2","Filtration Capacity: 15 L/hr"
911,"AquaDpure Fully Automatic with Goodness of Copper 12 L RO + UV + UF + TDS Water Purifier","4,949","15,999","4","Filtration Capacity: 12 L/hr"
912,"Always Hexa 12 L RO + UV + UF + Copper + TDS Control Water Purifier","3,599","13,500","4.2","1 Year Offsite Warranty: Customer have to call the customer support & register their RO once it is delivered. (A)- 1 Year Warranty on all electricla parts"
913,"Blair GLORY (BLACK) HIGH TDS RO+UV+UF+TDS +COPPER+ALKALINE 14 L RO + UV + UF + TDS Control + Alkaline ...","5,584","19,999","4.3","Filtration Capacity: 17 L/hr"
914,"aquadeal RO+UV_LED+UF+TDS with HOT & Normal cold Water Purifier 15 L RO + UF + UV + UV_LED + TDS Contr...","7,641","15,990","4.4","Filtration Capacity: 15 L/hr"
915,"pure master QUBETB 11 L RO + UV + UF + TDS Water Purifier","5,199","14,999","5","Filtration Capacity: 15 L/hr"
916,"KENT Ace Star (11081) 8 L RO + UV + UF + TDS Water Purifier","20,500",NULL,"4.4","Filtration Capacity: 20 L/hrs"
917,"Keel EPIC 15 L RO + UV + UF + TDS Water Purifier with Prefilter","4,099","16,500","4.1","Filtration Capacity: 15 L/hr"
918,"Aqua Fresh OMEGO BLACK CP LED COPPER+RO+UV+UF+TDS+MINERAL 10 L electric water purifier 10 L RO + UV + ...","5,999","19,999","3.5","Filtration Capacity: 12 L/hr"
919,"Royal Aquafresh Epic RAF Model 15 L RO + UV + UF + TDS Water Purifier with Prefilter","3,899","16,500","4.1","s address within maximum 4-6 days(working hours) "
920,"Aqua Ace Active Copper Ro Water Purifier With Goodness Of Copper With 3000 TDS Membrane 12 L RO + UV +...","4,999","14,999","4","Filtration Capacity: 12 L/hr"
921,"Aqua Fresh ALTIS BLCK COPPER RO UV TDS 12L ELECTRICAL AUTOMATIC WATER PURIFIER 12 L RO + UV + UF + TDS...","4,998","13,999","4.7","Filtration Capacity: 12 L/hr"
922,"R.K. AQUA FRESH INDIA ZST-777 12 L RO + UV + UF + TDS Water Purifier","5,088","15,999","4.2","6Month Warranty On All Electronic Items"
923,"Aqua Fresh CRYSTAL Black LED+COPPER+RO+UV+TDS AUTOMATIC ELECTRICAL BOREWELL WATER PURIFIER 12 L RO + U...","4,199","15,999","3.8","Filtration Capacity: 12 L/hr"
924,"Aqua Fresh TPT diemond 12Ltrs + copper filter 12 L RO + UV + UF + Copper + TDS Control Water Purifier ...","3,999","16,500","3.6","Filtration Capacity: 20 L/hr"
925,"Aquafresh PRISM COPPER MINERAL+ro+uv+tds 15 L 15 L RO + UV + UF + TDS Water Purifier","5,199","13,999","3.7","Filtration Capacity: 12 L/hr"
926,"Aqua Fresh audi RED ro uv uf tds mineral 12 L 12 L RO + UV + UF + TDS Water Purifier","4,549","13,999","3.7","Filtration Capacity: 12 L/hr"
927,"Grand plus NEW EPIC 15 L RO + UV + UF + TDS Water Purifier with Prefilter","3,799","16,500","4.4","Filtration Capacity: 15 L/hr"
928,"AquaDpure Complete 80 GPD RO Water Purifier Service Kit filter Suitable for 12 L RO + UV + UF + TDS Wa...","980","1,999","4.4","Please Insure Proper Installation For Long Product Life for more information related service kit please contact us 9752883757"
929,"Aquatec Plus Premium 9 L RO + UV + UF + TDS Water Purifier","9,057","19,999","4.7","Filtration Capacity: 15 L/hr"
930,"Aqua Fresh Opel Fullbody 13 L RO + UV + UF + TDS Water Purifier","3,999","14,000","4.2",NULL
931,"nexus pure OPEL18 COPPER + ALKALINE 18 L RO + UV + UF + TDS Water Purifier","5,129","17,479","4","Filtration Capacity: 20 L/hr"
932,"Aquagrand Megastar Model RO + UV LED+ UF + TDS 15 L RO + UV + UF + TDS Water Purifier","3,679","17,500","4","Filtration Capacity: 15 L/hr"
933,"SAMTA RO+UV+UF+TDS+MIneral water purifier 15 L RO + UV + UF + TDS Water Purifier","5,300","14,990","3.8","Filtration Capacity: 15 L/hr"
934,"trypkon PLUTO 1 COPPER 12 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier","5,298","17,455","4","Filtration Capacity: 20 L/hr"
935,"Aqua Fresh NYC purix ALKALINE ro+uv+uf+tds+mineral 15L 15 L RO + UV + UF + TDS Water Purifier","5,199","13,999","3.7","Filtration Capacity: 12 L/hr"
936,"Aqua Fresh blue mineral RO+UV+UF+TDS 15 L 15 L RO + UV + UF + TDS Water Purifier","4,499","13,999","3.6","Filtration Capacity: 12 L/hr"
937,"fedula AQUA Pearl RO UV UF TDS Minerl 12 Ltrs storeg tank 12 L RO + UV + UF + TDS Water Purifier","5,849","18,051","4.2","Filtration Capacity: 15 L/hr"
938,"Home-pro Manual Water Filter | Carbon Candle For Fast Filteration | 24 Liter Capacity 24 L Gravity Bas...","2,101","4,776","4","Filtration Capacity: 8 L/hr"
939,"E.F.M Cloud-9 Water Purifier Luxury Domestic RO System 12 L RO + UV + UF + TDS + Alkaline Water Purifi...","4,727","14,000","5","Filtration Capacity: 15 L/hr"
940,"AQUA SKYLAND Model With UF Membrane filter RO + UF MEMBRANE FILTER+TDS 18 L RO + UF + TDS Water Purifi...","3,995","14,500","4","Filtration Capacity: 18 L/hr"
941,"pure master Qube 11 L RO + UV + UF + TDS + Alkaline Water Purifier","5,899","14,999","5","Filtration Capacity: 15 L/hr"
942,"Hindware Achelous Premium iPRO 8 L RO + UV + Minerals Water Purifier Suitable for all - Borewell, Tank...","19,999","27,990","3.3","Filtration Capacity: 18 L/hr"
943,"Hydroshell Water Purifier  With Mineral Filter 12 L RO + UV + UF + TDS Water Purifier","4,749","13,999","4","Filtration Capacity: 12 L/hr"
944,"Kinsco Aqua Ro With Uv Laser 15 L RO + UV + UF + TDS Water Purifier with Prefilter","3,999","20,000","4.6","Filtration Capacity: 15 L/hr"
945,"Hydroshell 25 Lph Commercial RO Water Purifier Plant Full Stainless Steel With TDS Adjuster 25 L 25 L ...","6,799","18,999","4","Filtration Capacity: 25 L/hr"
946,"Aqua Fresh Titanium Golden 2 Years Warranty India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV ...","6,299","16,500","3.6","Filtration Capacity: 15 L/hr"
947,"ONE RO 50 LPH Commercial Water Purifier Plant Stainless Steel With Auto Shut Off And TDS Adjuster 50 L...","10,499","25,999","4.4","1 Year Warrenty On All Electric Parts I.e Booster Pump & SMPS "
948,"Aqua Fresh swift Mineral+ro+uv+uf+tds 15 L 15 L RO + UV + UF + TDS Water Purifier","5,099","12,999","3.8","Filtration Capacity: 12 L/hr"
949,"Always SPARKLE 10 L RO + UV + MF + Minerals + Copper Water Purifier","4,424","18,000","4.3","Filtration Capacity: 15 L/hr"
950,"ONE RO 25 LPH Commercial Water Purifier Plant Double Purification Stainless Steel With TDS Adjuster 25...","6,499","24,999","4.3","1 Year Warrenty On All Electric Parts I.e Booster Pump & SMPS "
951,"Oseas aqua Aqua plus 15L Ro+ Uv+ Uf+ Alkaline Technology Water Purifier 15 L RO + UV + UF + TDS Water ...","5,900","13,999","3.7","Filtration Capacity: 10 L/hr"
952,"Royal Aquafresh Omega RAF New B Swift 18 L RO + UV + UF + TDS Water Purifier with Prefilter","3,749","16,500","4","Filtration Capacity: 10 L/hr"
953,"KENT Grand Plus 9 L RO + UV + UF + TDS Control + UV in Tank Water Purifier","18,940","20,000","5","1 Year Warranty + 3 Years free service"
956,"AQUA UNIQUE & ELEGANT 2090 Model Advance Technology With LED 10 L RO + UV + UF + TDS Water Purifier","5,015","15,500","4","Filtration Capacity: 15 L/hr"
957,"AquaDpure Aqua Copper Infuser Technology, 8 Stage Purification 12 L RO + UV + UF + TDS + Copper Water ...","4,949","18,999","4.1","Filtration Capacity: 12 L/hr"
